category,dimension,weight,note,as_of
程序编码,数学推理,0.15,,2026-09-23
程序编码,幻觉控制,0.0,,2026-09-23
程序编码,科学推理,0.0,,2026-09-23
程序编码,精确指令遵循,0.2,,2026-09-23
程序编码,Agentic编程,0.35,,2026-09-23
程序编码,Agent任务规划,0.0,,2026-09-23
程序编码,Terminal编程,0.3,,2026-09-23
程序编码,SuperCLUE总分,0.0,,2026-09-23
前端UX设计,数学推理,0.0,,2026-09-23
前端UX设计,幻觉控制,0.25,,2026-09-23
前端UX设计,科学推理,0.25,,2026-09-23
前端UX设计,精确指令遵循,0.3,,2026-09-23
前端UX设计,Agentic编程,0.0,,2026-09-23
前端UX设计,Agent任务规划,0.0,,2026-09-23
前端UX设计,Terminal编程,0.0,,2026-09-23
前端UX设计,SuperCLUE总分,0.2,,2026-09-23
文书撰写,数学推理,0.0,,2026-09-23
文书撰写,幻觉控制,0.35,,2026-09-23
文书撰写,科学推理,0.2,,2026-09-23
文书撰写,精确指令遵循,0.25,,2026-09-23
文书撰写,Agentic编程,0.0,,2026-09-23
文书撰写,Agent任务规划,0.0,,2026-09-23
文书撰写,Terminal编程,0.0,,2026-09-23
文书撰写,SuperCLUE总分,0.2,,2026-09-23
数据分析,数学推理,0.25,,2026-09-23
数据分析,幻觉控制,0.2,,2026-09-23
数据分析,科学推理,0.35,,2026-09-23
数据分析,精确指令遵循,0.2,,2026-09-23
数据分析,Agentic编程,0.0,,2026-09-23
数据分析,Agent任务规划,0.0,,2026-09-23
数据分析,Terminal编程,0.0,,2026-09-23
数据分析,SuperCLUE总分,0.0,,2026-09-23
数学推理,数学推理,0.55,,2026-09-23
数学推理,幻觉控制,0.15,,2026-09-23
数学推理,科学推理,0.3,,2026-09-23
数学推理,精确指令遵循,0.0,,2026-09-23
数学推理,Agentic编程,0.0,,2026-09-23
数学推理,Agent任务规划,0.0,,2026-09-23
数学推理,Terminal编程,0.0,,2026-09-23
数学推理,SuperCLUE总分,0.0,,2026-09-23
Agent编排,数学推理,0.0,,2026-09-23
Agent编排,幻觉控制,0.15,,2026-09-23
Agent编排,科学推理,0.0,,2026-09-23
Agent编排,精确指令遵循,0.2,,2026-09-23
Agent编排,Agentic编程,0.25,,2026-09-23
Agent编排,Agent任务规划,0.4,,2026-09-23
Agent编排,Terminal编程,0.0,,2026-09-23
Agent编排,SuperCLUE总分,0.0,,2026-09-23
长文档处理,数学推理,0.0,,2026-09-23
长文档处理,幻觉控制,0.3,,2026-09-23
长文档处理,科学推理,0.2,,2026-09-23
长文档处理,精确指令遵循,0.25,,2026-09-23
长文档处理,Agentic编程,0.0,,2026-09-23
长文档处理,Agent任务规划,0.0,,2026-09-23
长文档处理,Terminal编程,0.0,,2026-09-23
长文档处理,SuperCLUE总分,0.25,,2026-09-23
翻译润色,数学推理,0.0,,2026-09-23
翻译润色,幻觉控制,0.3,,2026-09-23
翻译润色,科学推理,0.2,,2026-09-23
翻译润色,精确指令遵循,0.3,,2026-09-23
翻译润色,Agentic编程,0.0,,2026-09-23
翻译润色,Agent任务规划,0.0,,2026-09-23
翻译润色,Terminal编程,0.0,,2026-09-23
翻译润色,SuperCLUE总分,0.2,,2026-09-23
多模态理解,数学推理,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,幻觉控制,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,科学推理,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,精确指令遵循,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,Agentic编程,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,Agent任务规划,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,Terminal编程,0.0,直接用VLM分（不参与维度加权）,2026-09-23
多模态理解,SuperCLUE总分,0.0,直接用VLM分（不参与维度加权）,2026-09-23
知识问答/检索,数学推理,0.0,,2026-09-23
知识问答/检索,幻觉控制,0.4,,2026-09-23
知识问答/检索,科学推理,0.25,,2026-09-23
知识问答/检索,精确指令遵循,0.2,,2026-09-23
知识问答/检索,Agentic编程,0.0,,2026-09-23
知识问答/检索,Agent任务规划,0.0,,2026-09-23
知识问答/检索,Terminal编程,0.0,,2026-09-23
知识问答/检索,SuperCLUE总分,0.15,,2026-09-23
创意生成,数学推理,0.0,,2026-09-23
创意生成,幻觉控制,0.25,,2026-09-23
创意生成,科学推理,0.2,,2026-09-23
创意生成,精确指令遵循,0.25,,2026-09-23
创意生成,Agentic编程,0.0,,2026-09-23
创意生成,Agent任务规划,0.0,,2026-09-23
创意生成,Terminal编程,0.0,,2026-09-23
创意生成,SuperCLUE总分,0.3,,2026-09-23
代码审查与调试,数学推理,0.2,,2026-09-23
代码审查与调试,幻觉控制,0.0,,2026-09-23
代码审查与调试,科学推理,0.0,,2026-09-23
代码审查与调试,精确指令遵循,0.2,,2026-09-23
代码审查与调试,Agentic编程,0.35,,2026-09-23
代码审查与调试,Agent任务规划,0.0,,2026-09-23
代码审查与调试,Terminal编程,0.25,,2026-09-23
代码审查与调试,SuperCLUE总分,0.0,,2026-09-23
