category,complexity,model,score,basis,as_of
程序编码,低,DeepSeek-V4-Pro-0813,62.3,,2026-09-23
程序编码,低,DeepSeek-V4-Flash-0731,57.8,,2026-09-23
程序编码,低,DeepSeek-V4.1-Flash-CED,73.7,,2026-09-23
程序编码,低,Qwen3.8-Max-0902,72.7,,2026-09-23
程序编码,低,Kimi-K3,68.8,,2026-09-23
程序编码,低,Kimi-K2.7-Code,67.0,,2026-09-23
程序编码,低,GLM-5.2,57.9,,2026-09-23
程序编码,低,GLM-5.3,75.3,,2026-09-23
程序编码,低,GLM-5.3-Flash,66.9,,2026-09-23
程序编码,低,豆包Seed-2.1-Pro,58.5,,2026-09-23
程序编码,低,Seedream-5.0,,,2026-09-23
程序编码,低,腾讯混元Hy3,54.1,,2026-09-23
程序编码,低,腾讯混元Hy4-preview,,,2026-09-23
程序编码,低,讯飞星火X2.5,,,2026-09-23
程序编码,低,MiniMax-M3,48.9,,2026-09-23
程序编码,中,DeepSeek-V4-Pro-0813,57.7,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,DeepSeek-V4-Flash-0731,53.5,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,DeepSeek-V4.1-Flash-CED,68.2,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,Qwen3.8-Max-0902,67.3,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,Kimi-K3,63.7,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,Kimi-K2.7-Code,62.0,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,GLM-5.2,53.6,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,GLM-5.3,69.7,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,GLM-5.3-Flash,61.9,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,豆包Seed-2.1-Pro,54.2,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,Seedream-5.0,,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,腾讯混元Hy3,50.1,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,腾讯混元Hy4-preview,,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,讯飞星火X2.5,,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,中,MiniMax-M3,45.3,数学+指令+Agentic编程+Terminal编程,2026-09-23
程序编码,高,DeepSeek-V4-Pro-0813,50.3,,2026-09-23
程序编码,高,DeepSeek-V4-Flash-0731,45.8,,2026-09-23
程序编码,高,DeepSeek-V4.1-Flash-CED,62.0,,2026-09-23
程序编码,高,Qwen3.8-Max-0902,61.0,,2026-09-23
程序编码,高,Kimi-K3,56.9,,2026-09-23
程序编码,高,Kimi-K2.7-Code,55.0,,2026-09-23
程序编码,高,GLM-5.2,45.9,,2026-09-23
程序编码,高,GLM-5.3,63.7,,2026-09-23
程序编码,高,GLM-5.3-Flash,54.9,,2026-09-23
程序编码,高,豆包Seed-2.1-Pro,46.5,,2026-09-23
程序编码,高,Seedream-5.0,,,2026-09-23
程序编码,高,腾讯混元Hy3,42.1,,2026-09-23
程序编码,高,腾讯混元Hy4-preview,,,2026-09-23
程序编码,高,讯飞星火X2.5,,,2026-09-23
程序编码,高,MiniMax-M3,37.2,,2026-09-23
前端UX设计,低,DeepSeek-V4-Pro-0813,72.7,,2026-09-23
前端UX设计,低,DeepSeek-V4-Flash-0731,65.7,,2026-09-23
前端UX设计,低,DeepSeek-V4.1-Flash-CED,71.0,,2026-09-23
前端UX设计,低,Qwen3.8-Max-0902,73.2,,2026-09-23
前端UX设计,低,Kimi-K3,70.1,,2026-09-23
前端UX设计,低,Kimi-K2.7-Code,,,2026-09-23
前端UX设计,低,GLM-5.2,63.8,,2026-09-23
前端UX设计,低,GLM-5.3,70.2,,2026-09-23
前端UX设计,低,GLM-5.3-Flash,67.1,,2026-09-23
前端UX设计,低,豆包Seed-2.1-Pro,70.3,,2026-09-23
前端UX设计,低,Seedream-5.0,,,2026-09-23
前端UX设计,低,腾讯混元Hy3,66.6,,2026-09-23
前端UX设计,低,腾讯混元Hy4-preview,,,2026-09-23
前端UX设计,低,讯飞星火X2.5,,,2026-09-23
前端UX设计,低,MiniMax-M3,56.7,,2026-09-23
前端UX设计,中,DeepSeek-V4-Pro-0813,67.3,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,DeepSeek-V4-Flash-0731,60.8,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,DeepSeek-V4.1-Flash-CED,65.7,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,Qwen3.8-Max-0902,67.8,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,Kimi-K3,64.9,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,GLM-5.2,59.1,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,GLM-5.3,65.0,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,GLM-5.3-Flash,62.1,幻觉+科学+指令+总分,2026-09-23
